timestep,edge_mask_0,edge_mask_1,edge_mask_2,edge_mask_3,edge_mask_4,edge_mask_5,edge_mask_6,edge_mask_7,edge_mask_8,edge_mask_9,edge_mask_10,edge_mask_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
24,0.83498895,0.65093124,0.3766839,0.76234394,0.28964737,0.54044485,0.17069508,0.06919519,0.08287121,0.066961005,0.09581589,0.05942142,0.44813988,0.06463529,-0.11934789,0.254276,0.24868901,-0.06269346,0.33910745,0.52286315,0.38644874,-0.24884403,-0.087001175,0.03853658,0.32423574,-0.29913536,0.34556723,-0.21085568,-0.11234915,0.025061905,-0.28333217,0.4023817,0.21196927,0.15219991,-0.7724053,0.24822712,-0.87094355,0.363024,0.9646531,-0.38182306,0.94999146,-0.016920751,0.61933017,0.34986678
25,0.83943087,0.5969297,0.44354868,0.7806295,0.3398843,0.48292255,0.14517514,0.06959808,0.07352881,0.0741954,0.090971075,0.06318599,0.43354493,0.08441219,-0.1835751,0.20247698,0.23409407,-0.042916566,0.37284526,0.5055295,0.3690723,-0.16447261,-0.053263366,0.021202952,0.35561877,-0.3129331,0.35026607,-0.1245345,-0.080966115,0.011264175,-0.26361373,0.4153075,0.22265632,0.13932991,-0.75268686,0.26115292,-0.94064176,0.11769988,0.79235685,0.22160442,0.9109066,0.33607256,0.63679385,0.2518
26,0.8168701,0.58087415,0.508058,0.73771507,0.3500659,0.4245828,0.15968308,0.07830579,0.06735923,0.102601886,0.10482417,0.069060035,0.4140488,0.098807454,-0.23314814,0.13868257,0.21459793,-0.0285213,0.39983633,0.49497592,0.26531467,-0.093656555,-0.026272297,0.010649353,0.38599288,-0.31979266,0.33110198,-0.052058607,-0.050592005,0.0044046044,-0.24304889,0.42670283,0.23141935,0.12025757,-0.73212206,0.27254826,-0.9546685,-0.13175137,-0.11489476,0.29697907,0.6840244,0.41342282,0.6442714,0.15760134
27,0.7781782,0.5995694,0.5321877,0.66651833,0.32306162,0.40794334,0.18780723,0.087705806,0.059869017,0.1456744,0.13411601,0.077368975,0.39083272,0.10764763,-0.27036056,0.07799506,0.19138186,-0.019681126,0.41711304,0.489385,0.15528871,-0.04635346,-0.008995593,0.0050584376,0.41036433,-0.32213205,0.24063964,-0.012960777,-0.02622056,0.0020652115,-0.22182992,0.4365865,0.2379397,0.10459873,-0.71090305,0.28243193,-0.954995,-0.26016882,-0.4369725,0.23888962,-0.07686828,0.26083177,0.6437516,0.14405534
28,0.7240805,0.627234,0.5368851,0.5823372,0.28598058,0.40756094,0.22601672,0.098067075,0.055553947,0.19164616,0.17785245,0.08678549,0.36483523,0.11169102,-0.2981115,0.028392244,0.16538437,-0.015637733,0.426109,0.48693076,0.07228847,-0.017727192,3.5762787e-07,0.0026041865,0.426294,-0.32264444,0.14517441,-0.0020594015,-0.010290891,0.0015528202,-0.20012514,0.44571766,0.24277645,0.09988653,-0.6891983,0.2915631,-0.9534113,-0.30104053,-0.4417805,0.17037901,-0.3530535,0.07661182,0.6432166,0.21437496
29,0.66284317,0.6512949,0.51885766,0.5036861,0.255514,0.42787033,0.25767046,0.10612973,0.053272042,0.23864348,0.23102713,0.09319118,0.3367796,0.11231109,-0.3185383,-0.0038617887,0.13732873,-0.015017666,0.42956895,0.48615023,0.021521598,-0.004145611,0.0034603179,0.0018236637,0.43508077,-0.32276195,0.073858835,-0.00092866516,-0.0015041232,0.0014353096,-0.17807822,0.45516253,0.24606025,0.10747129,-0.6671514,0.30100796,-0.94954735,-0.25155973,-0.32694757,0.09149783,-0.3502198,0.006158859,0.639779,0.32556376
30,0.60293466,0.6654965,0.5010822,0.44333166,0.2384257,0.44864586,0.27604103,0.1110741,0.05027201,0.28062728,0.28599128,0.09607783,0.30725992,0.1116152,-0.33272502,-0.009667159,0.10780905,-0.01571355,0.43018973,0.48600268,-0.00041401992,-0.000386063,0.0040811,0.0016761124,0.4390716,-0.32288104,0.029584365,-0.0015203265,0.0024867058,0.0013162196,-0.15574004,0.4659598,0.24927293,0.12621875,-0.6448132,0.31180522,-0.93821347,-0.06770817,-0.1655522,0.027231453,-0.25809768,-0.008238275,0.64727724,0.45615306
31,0.5505698,0.663477,0.49148044,0.408652,0.23791386,0.46201348,0.2746749,0.11273614,0.04650608,0.3166731,0.33669406,0.09860908,0.27693594,0.11207852,-0.33903655,0.012555295,0.07748507,-0.015250236,0.42985544,0.4859335,-0.005364691,-0.0009604355,0.0037468076,0.0016069412,0.44041118,-0.32300875,0.0075339666,-0.0013684853,0.0038262904,0.0011885166,-0.13296488,0.47891352,0.2549495,0.1527856,-0.622038,0.32475895,-0.89492774,0.19805664,-0.050541766,-0.0067088827,-0.14654309,-0.0022824032,0.679948,0.58121514
32,0.5041482,0.6447307,0.48483112,0.39370427,0.25193578,0.47314388,0.25568348,0.11258414,0.042025045,0.35061225,0.38326764,0.10333357,0.24754258,0.114851214,-0.3203709,0.039934136,0.04809171,-0.0124775395,0.42938265,0.48580387,-0.005196973,-0.0016812292,0.0032740235,0.0014773011,0.44059277,-0.32306582,-0.0007402664,-0.0002660816,0.004007876,0.0011314452,-0.1094587,0.49446243,0.2642948,0.18275598,-0.59853184,0.34030786,-0.6609355,0.30517662,-0.011734558,-0.009609027,-0.063907415,0.0076028244,0.7308264,0.681668
33,0.46660563,0.62204105,0.4685885,0.38788807,0.27024308,0.49363655,0.23038667,0.10865977,0.037774973,0.38172525,0.42473465,0.107715845,0.22445062,0.118845366,-0.22468062,0.04660209,0.024999753,-0.0084833875,0.42906815,0.48560935,-0.0026434176,-0.0024015806,0.0029595196,0.0012827814,0.4404207,-0.32300308,-0.0024979387,0.0011793871,0.0038357973,0.001194179,-0.085051015,0.51256615,0.2746472,0.21034971,-0.57412416,0.35841158,0.1559755,0.16651481,0.012543125,-0.0114065865,-0.019427389,0.013789483,0.76426095,0.7328273
34,0.45662004,0.63064474,0.42011443,0.41145054,0.2672196,0.5454734,0.22211899,0.10241656,0.03441222,0.36643043,0.44096336,0.102135696,0.21021114,0.122376814,-0.12498395,0.035556443,0.0107602775,-0.004951939,0.429154,0.48551974,0.002752684,-0.00029300543,0.00304538,0.0011931658,0.44019118,-0.32282022,-0.0025759647,0.0024581002,0.0036062896,0.0013770461,-0.0600066,0.5324681,0.28008318,0.22652303,-0.5490798,0.3783135,0.43526527,0.0060487585,0.047352474,0.0150818005,-0.0070251115,0.015735598,0.7409774,0.6876074
35,0.45151615,0.6536199,0.37086058,0.4351526,0.25311735,0.5972244,0.23091751,0.096725054,0.031914983,0.33392987,0.4517588,0.093262725,0.2031804,0.12464188,-0.054686934,0.019972939,0.0037295371,-0.002686873,0.42971262,0.48570958,0.007933908,0.003310651,0.0036039948,0.0013830066,0.4399172,-0.32258996,-0.0032784448,0.0026084424,0.0033323169,0.0016072989,-0.034760483,0.5530901,0.28072712,0.23043896,-0.52383363,0.39893553,0.39051026,-0.0669439,0.058693953,0.03530405,-0.01346471,0.007648673,0.7066475,0.6054673
